,latitude,longitude,borough,zipcode,spc_latin,tree_diameter,wires,sidew_crack_raise,latBin,lonBin,lonDistance,latDistance,avg_health_round,avg_health,landuseavg,numfloorsavg
93,40.7526022,-73.99446333,Manhattan,10001,gleditsia triacanthos,4,0,0,40.7525,-73.9945,0.0001346700000084411,0.0008700400000023478,3.0,2.8181818181818183,6.0,13.0
94,40.7526022,-73.99446333,Manhattan,10001,gleditsia triacanthos,4,0,0,40.7525,-73.9945,0.0001346700000084411,0.0008700400000023478,3.0,2.8181818181818183,6.0,13.0
95,40.7526022,-73.99446333,Manhattan,10001,unknown dead,0,0,0,40.7525,-73.9945,0.0001346700000084411,0.0008700400000023478,3.0,2.8181818181818183,6.0,13.0
96,40.752682,-73.99463,Manhattan,10001,pyrus calleryana,4,0,0,40.7525,-73.9945,0.0001299999999986312,0.00018200000000234695,2.0,2.0,6.0,13.0
97,40.752682,-73.99463,Manhattan,10001,pyrus calleryana,4,0,0,40.7525,-73.9945,0.0001299999999986312,0.00018200000000234695,2.0,2.0,6.0,13.0
98,40.752682,-73.99463,Manhattan,10001,pyrus calleryana,4,0,0,40.7525,-73.9945,0.0001299999999986312,0.00018200000000234695,2.0,2.0,6.0,13.0
99,40.752493,-73.994181,Manhattan,10001,pyrus calleryana,4,0,0,40.7525,-73.9945,0.00031900000000462114,6.999999996537554e-06,2.0,2.0,6.0,13.0
100,40.752493,-73.994181,Manhattan,10001,pyrus calleryana,6,0,0,40.7525,-73.9945,0.00031900000000462114,6.999999996537554e-06,2.0,2.0,6.0,13.0
101,40.752588,-73.994407,Manhattan,10001,gleditsia triacanthos,4,0,0,40.7525,-73.9945,9.30000000067821e-05,8.800000000519503e-05,2.0,2.0,6.0,13.0
102,40.752564,-73.994349,Manhattan,10001,unknown live trees ,4,0,0,40.7525,-73.9945,0.00015100000000245473,6.400000000184036e-05,2.0,2.0,6.0,13.0
103,40.752682,-73.99463,Manhattan,10001,cornus mas,4,0,0,40.7525,-73.9945,0.0001299999999986312,0.00018200000000234695,2.0,2.0,6.0,13.0
104,40.752564,-73.994349,Manhattan,10001,unknown live trees ,7,0,0,40.7525,-73.9945,0.00015100000000245473,6.400000000184036e-05,2.0,2.0,6.0,13.0
105,40.752682,-73.99463,Manhattan,10001,cornus mas,4,0,0,40.7525,-73.9945,0.0001299999999986312,0.00018200000000234695,2.0,2.0,6.0,13.0
106,40.752564,-73.994349,Manhattan,10001,cornus mas,4,0,0,40.7525,-73.9945,0.00015100000000245473,6.400000000184036e-05,2.0,2.0,6.0,13.0
107,40.752588,-73.994407,Manhattan,10001,gleditsia triacanthos,3,0,0,40.7525,-73.9945,9.30000000067821e-05,8.800000000519503e-05,2.0,2.0,6.0,13.0
108,40.752588,-73.994407,Manhattan,10001,gleditsia triacanthos,5,0,0,40.7525,-73.9945,9.30000000067821e-05,8.800000000519503e-05,2.0,2.0,6.0,13.0
109,40.74577606,-73.99561876,Manhattan,10001,gleditsia triacanthos,7,0,1,40.7455,-73.996,9.661999999366344e-05,0.00032511999999940144,2.0,2.5,2.0,5.0
110,40.74582821,-73.99574146,Manhattan,10001,acer rubrum,4,0,0,40.7455,-73.996,9.661999999366344e-05,0.00032511999999940144,2.0,2.5,2.0,5.0
111,40.74577606,-73.99561876,Manhattan,10001,unknown dead,0,0,0,40.7455,-73.996,9.661999999366344e-05,0.00032511999999940144,2.0,2.5,2.0,5.0
112,40.74577606,-73.99561876,Manhattan,10001,pyrus calleryana,12,0,0,40.7455,-73.996,9.661999999366344e-05,0.00032511999999940144,2.0,2.5,2.0,5.0
113,40.74582821,-73.99574146,Manhattan,10001,pyrus calleryana,11,0,0,40.7455,-73.996,9.661999999366344e-05,0.00032511999999940144,2.0,2.5,2.0,5.0
114,40.74579528,-73.99570898,Manhattan,10001,pyrus calleryana,8,0,0,40.7455,-73.996,9.661999999366344e-05,0.00032511999999940144,2.0,2.5,2.0,5.0
115,40.745923,-73.995991,Manhattan,10001,acer platanoides,4,0,0,40.7455,-73.996,8.999999991488039e-06,0.00042299999999784177,2.0,1.5,2.0,5.0
116,40.745923,-73.995991,Manhattan,10001,tilia cordata,4,0,0,40.7455,-73.996,8.999999991488039e-06,0.00042299999999784177,2.0,1.5,2.0,5.0
117,40.745923,-73.995991,Manhattan,10001,acer pseudoplatanus,4,0,0,40.7455,-73.996,8.999999991488039e-06,0.00042299999999784177,2.0,1.5,2.0,5.0
